index0,index1,index2,index3,index4,label
82.79094405,73.86795496,65.15377896,65.16578338,75.61691103,0
80.76887254,78.24950841,72.4215522,75.08951486,85.9557629,0
85.47635435,82.40889277,75.41402621,78.49777364,87.33071696,0
87.27281369,84.52559001,78.82515018,81.6209418,88.5174727,0
88.29575514,83.85914223,76.9273387,78.38664258,87.62488829,0
88.29575514,84.52559001,79.23233163,81.56087152,88.66772536,0
87.88440309,84.01202468,78.42211916,80.90583222,89.50183856,0
90.07721811,85.94342908,80.39506986,82.65570517,89.65492002,0
90.5043892,86.53450585,81.50562002,83.52757293,90.66079037,0
91.80469412,88.80955554,85.23328748,85.72276703,92.08536619,0
92.57651909,89.9040504,86.04569891,86.86378669,92.32647755,0
93.58366816,90.31397646,87.16973269,87.48011771,92.32647755,0
93.24607162,90.90598472,87.81809923,88.17516936,93.96162709,0
94.03672633,92.48142312,89.87478699,91.14313181,95.30549462,0
94.95308781,92.54308611,89.50795742,88.95248128,93.54826155,0
94.49318748,91.68707122,87.71772506,87.82627736,93.79591004,0
94.95308781,92.72855732,89.19590376,89.67100629,95.56111303,0
96.11816444,94.49547204,91.97466902,90.9937634,94.62950243,0
96.11816444,94.55979735,92.47322378,93.20817709,96.24849821,0
95.88337545,93.85690274,91.8096696,91.21799197,95.05104102,0
95.53286584,94.62421515,93.25955885,92.81878629,96.42166436,0
96.47201801,95.33847256,94.11698876,94.63718532,97.11966025,0
96.59041798,95.66664595,94.46438126,94.47626651,97.29551473,0
95.76631992,93.79350891,91.48144548,91.51867457,96.59535781,0
96.59041798,95.20782023,92.58474828,92.20243458,96.24849821,0
97.18583413,94.4312326,92.30644257,92.43261429,96.76958503,0
96.59041798,94.4312326,92.47322378,92.66394283,96.07586584,0
97.06630301,95.20782023,92.75253351,93.28644233,95.9037586,0
96.47201801,92.29691642,90.67102089,91.6697507,95.30549462,0
96.23588648,93.03930996,88.8860137,90.47479302,95.73217216,0
96.00065569,95.9307847,93.7721346,93.36484212,96.50844518,0
92.68759892,89.26719213,86.62852103,86.93183668,93.63068354,0
94.95308781,92.60482837,90.51064565,90.84488142,95.56111303,0
96.23588648,94.11131045,92.08499859,93.13003605,95.73217216,0
97.5458424,96.12982521,94.46438126,94.47626651,97.38364403,0
96.35384465,94.62421515,92.69654147,92.43261429,97.20751942,0
97.42561049,97.0695218,95.52206458,95.20470664,98.00437632,0
96.94698707,95.99703905,94.99028508,94.55665347,96.76958503,0
96.59041798,96.19635702,93.42979758,94.47626651,97.29551473,0
97.06630301,95.46947502,94.69739981,95.04187313,98.00437632,0
97.30561472,96.46337611,94.99028508,94.55665347,96.94435899,0
98.39398227,98.79317862,97.15362571,97.11789955,99.17526571,0
100,97.13733523,96.42167766,96.27679142,98.72211113,0
97.18583413,95.86461624,95.22589854,95.45000742,97.29551473,0
98.39398227,96.66459669,95.34414718,94.96065819,97.91528752,0
99.2537041,97.20524114,96.42167766,97.03313463,98.54183948,0
97.42561049,96.59743067,97.83437558,96.69553427,98.63190075,0
96.23588648,95.33847256,93.42979758,92.66394283,97.20751942,0
96.00065569,92.85261659,89.76966845,90.62246406,95.9037586,0
97.5458424,96.26297471,95.93978829,96.02726792,97.91528752,0
