index0;index1;index2;index3;index4;temp;press;hum;label;;;;;;
665151.00;7663236.50;28108942.00;4797657.50;533194.50;28.63;90053.30;13.00;0;;;;;;
631319.37;6955635.50;24805450.00;4245659.50;504806.50;28.88;90054.74;12.90;0;;;;;;
620418.06;6594486.00;22420800.00;3982498.75;492071.12;29.12;90053.55;12.74;0;;;;;;
613724.88;6492570.00;21903744.00;3911196.00;485768.50;29.33;90054.58;12.68;0;;;;;;
617053.31;6586532.50;22260870.00;3939408.50;487851.34;29.53;90056.49;12.55;0;;;;;;
601821.94;6386279.50;20719570.00;3662047.50;461469.12;29.70;90053.04;12.44;0;;;;;;
565902.19;5801699.50;19207502.00;3436241.50;454404.25;29.86;90053.47;12.29;0;;;;;;
585812.38;6135180.50;20390790.00;3557099.50;467793.50;30.04;90055.27;12.20;0;;;;;;
550833.81;5486939.00;18138942.00;3269606.75;435559.34;30.19;90056.10;12.13;0;;;;;;
554863.19;5537005.50;17857220.00;3219493.00;428720.97;30.31;90051.82;12.04;0;;;;;;
535704.94;5389473.50;17828074.00;3227102.50;435281.62;30.45;90051.23;11.95;0;;;;;;
487155.09;4658516.00;14979657.00;2694736.75;398211.16;30.57;90053.10;11.88;0;;;;;;
512769.16;4972382.50;16165762.00;2849391.25;407238.03;30.69;90053.34;11.85;0;;;;;;
513154.59;4918643.00;16322790.00;2802600.00;386926.13;30.83;90054.55;11.89;0;;;;;;
441760.13;4032488.25;12780031.00;2333238.50;376678.31;30.92;90052.02;11.85;0;;;;;;
510087.19;4905389.00;15489482.00;2437369.75;325285.91;31.04;90052.91;11.80;0;;;;;;
460535.19;4285639.50;13762285.00;2506732.00;391362.50;31.10;90053.71;11.83;0;;;;;;
519401.47;5004276.00;16470470.00;2903934.75;414407.13;31.18;90056.13;11.86;0;;;;;;
507056.19;4923077.00;16761125.00;2894699.75;411410.22;31.27;90056.39;11.94;0;;;;;;
519401.47;4986001.00;16359461.00;2840499.25;409190.81;31.35;90056.81;11.90;0;;;;;;
532778.37;5179892.50;17360530.00;3067590.25;426311.41;31.46;90057.27;11.76;0;;;;;;
566371.69;5704735.50;19224406.00;3339584.25;446381.88;31.55;90057.45;11.62;0;;;;;;
589352.50;6050221.50;20428928.00;3534081.00;458987.00;31.64;90056.20;11.63;0;;;;;;
590371.88;6128296.00;20877986.00;3582768.50;463034.13;31.72;90056.13;11.66;0;;;;;;
596041.94;6173323.50;20699936.00;3561739.25;462406.87;31.79;90055.91;11.64;0;;;;;;
594484.75;6159398.50;20719570.00;3559417.75;468435.50;31.89;90058.44;11.53;0;;;;;;
598655.38;6183808.50;20563540.00;3440571.25;429800.62;31.96;90058.24;11.35;0;;;;;;
520193.03;5041231.00;17075560.00;2922583.00;423928.78;32.04;90056.95;11.48;0;;;;;;
545551.44;5352499.00;17915800.00;3084918.00;404823.09;32.12;90056.52;11.39;0;;;;;;
510468.59;4887828.00;16371721.00;2870357.50;425779.62;32.18;90056.76;11.28;0;;;;;;
560328.31;5410832.00;17612470.00;2913229.00;385832.72;32.21;90058.87;11.49;0;;;;;;
496003.88;4739369.50;15712299.00;2718884.75;387365.25;32.26;90057.74;11.37;0;;;;;;
521783.44;5107232.00;17196536.00;2951008.75;420533.87;32.33;90057.99;11.48;0;;;;;;
536125.62;5189737.00;17555854.00;3097164.50;427378.97;32.40;90058.09;11.38;0;;;;;;
569680.12;5758875.00;19533830.00;3389325.50;444637.44;32.44;90058.78;11.36;0;;;;;;
573027.44;5680998.50;19464212.00;3345721.75;444058.97;32.50;90055.69;11.38;0;;;;;;
562174.06;5553898.50;18875576.00;3271565.50;444348.00;32.58;90057.40;11.63;0;;;;;;
570632.50;5628306.50;19156972.00;3303225.75;449615.81;32.64;90056.85;11.61;0;;;;;;
527020.06;5126408.00;17332980.00;2993058.00;430885.75;32.67;90058.23;11.18;0;;;;;;
526613.50;4949849.00;16646177.00;2837547.75;418728.28;32.69;90057.41;11.14;0;;;;;;
563101.44;5610959.00;19173786.00;3315257.00;448434.41;32.73;90057.43;11.12;0;;;;;;
543380.19;5269861.50;17828074.00;3127314.25;436673.78;32.78;90058.67;11.15;0;;;;;;
551724.13;5448620.00;18398652.00;3206262.25;435837.41;32.81;90058.05;11.45;0;;;;;;
560788.62;5553898.50;18990438.00;3307226.50;440619.63;32.86;90058.70;11.55;0;;;;;;
570632.50;5628306.50;19343566.00;3341627.50;446090.19;32.87;90058.73;11.60;0;;;;;;
564031.94;5651604.00;19603948.00;3362200.00;436953.28;32.90;90059.55;11.57;0;;;;;;
538663.88;5234505.00;17813536.00;3123737.00;432523.75;32.87;90061.45;11.31;0;;;;;;
552617.38;5559552.00;19073342.00;3303225.75;441189.16;32.88;90062.48;11.10;0;;;;;;
576414.31;5740715.00;19586372.00;3399875.50;452296.81;32.95;90060.25;11.02;0;;;;;;
579841.44;5851428.50;20090742.00;3477817.75;454102.00;32.88;90059.41;11.21;0;;;;;;
573991.06;5801699.50;20127764.00;3488926.75;458370.63;32.92;90059.63;11.49;0;;;;;;
585812.38;6040184.50;20897960.00;3615978.75;465560.34;32.95;90059.19;11.38;0;;;;;;
589861.75;6083921.50;20680340.00;3613586.25;467793.50;32.98;90063.30;11.33;0;;;;;;
600234.44;6279800.50;21794480.00;3744914.25;468435.50;32.98;90062.50;11.14;0;;;;;;
596562.75;6187311.00;21284832.00;3632816.00;460846.09;33.01;90064.22;11.22;0;;;;;;
585310.06;6033511.50;20660782.00;3589833.50;462093.88;32.98;90063.43;11.31;0;;;;;;
588844.19;6124860.00;21099806.00;3666965.00;463348.41;32.96;90061.10;11.13;0;;;;;;
581322.75;5921214.50;20486402.00;3534081.00;448729.19;32.96;90061.62;11.18;0;;;;;;
545115.81;5331598.00;18429696.00;3225196.75;428990.38;32.91;90060.54;11.19;0;;;;;;
560788.62;5509078.50;18634064.00;3238584.75;423928.78;32.87;90061.69;11.01;0;;;;;;
490656.44;4702640.50;16058809.00;2817056.50;415415.81;32.91;90061.19;11.00;0;;;;;;
529062.25;5102460.50;17541756.00;3095409.00;422616.59;32.93;90060.06;10.96;0;;;;;;
442619.41;4065508.75;13582591.00;2435196.25;380881.53;32.91;90060.64;10.89;0;;;;;;
541226.19;5347258.50;18229764.00;3174578.50;392487.53;32.96;90061.10;10.78;0;;;;;;
401018.22;3484474.75;11018157.00;2034268.62;326843.28;32.97;90062.53;10.79;0;;;;;;
369675.09;2132778.00;3716878.50;775170.31;260294.86;32.28;90142.57;13.49;1;;;;;;
376055.81;2183951.00;3853245.50;776492.87;248906.17;32.29;90143.09;13.84;1;;;;;;
281087.03;919829.31;913673.87;276756.75;175162.50;32.32;90144.25;15.62;1;;;;;;
296725.59;1302384.75;1757939.87;439768.09;209107.61;32.32;90144.00;14.64;1;;;;;;
320400.50;1573569.00;2252405.75;469401.78;194455.00;32.37;90145.47;14.97;1;;;;;;
282716.72;1106130.12;1260307.75;328415.66;181882.77;32.45;90147.65;15.09;1;;;;;;
260692.47;921692.19;1086760.37;301442.44;180154.83;32.48;90146.41;15.00;1;;;;;;
309365.56;1396998.62;1975403.87;470372.06;212889.81;32.53;90144.34;13.78;1;;;;;;
335188.22;1812790.50;2913229.00;601291.81;224217.20;32.41;90148.06;13.50;1;;;;;;
312480.94;1450424.87;1919850.00;453197.63;207961.00;32.39;90146.52;14.36;1;;;;;;
281783.16;1086760.37;1210044.37;309365.56;172332.55;32.46;90147.83;15.08;1;;;;;;
245328.22;749085.56;674349.69;193463.06;150190.67;32.53;90144.68;15.42;1;;;;;;
266597.25;1001467.00;1088493.25;275639.31;163421.64;32.59;90145.97;15.10;1;;;;;;
