0,1,2,3,label
214360.48,44.39,984.79,15.95,2
212889.81,44.38,984.77,15.93,2
214630.06,44.41,984.75,15.96,2
213155.7,44.43,984.74,15.94,2
215035.7,44.38,984.75,15.82,2
214360.48,44.41,984.73,15.95,2
214900.31,44.42,984.73,15.93,2
216949.16,44.39,984.75,15.95,2
220737.23,44.38,984.73,15.97,2
223190.94,44.4,984.71,15.88,2
226448.47,44.4,984.72,15.95,2
225849.14,44.36,984.72,16.0,2
226598.81,44.4,984.72,15.94,2
226598.81,44.41,984.7,15.95,2
229185.31,44.35,984.7,15.89,2
227505.0,44.37,984.69,16.02,2
228877.97,44.39,984.69,15.94,2
224512.17,44.4,984.69,15.93,2
