0,1,2,3,label_0,label_1,label_2
365,986,732,46,0,1,0
367,981,750,52,0,1,0
365,977,786,48,0,1,0
368,988,714,44,0,1,0
376,984,750,46,0,1,0
374,977,786,50,0,1,0
377,984,679,55,0,1,0
377,986,750,44,0,1,0
374,979,750,48,0,1,0
374,982,750,50,0,1,0
378,991,732,50,0,1,0
378,986,714,48,0,1,0
372,982,732,61,0,1,0
373,989,732,48,0,1,0
377,988,679,41,0,1,0
374,982,732,46,0,1,0
379,984,714,50,0,1,0
379,993,714,37,0,1,0
385,986,714,41,0,1,0
389,982,732,48,0,1,0
392,991,732,33,0,1,0
389,988,696,41,0,1,0
393,982,732,44,0,1,0
392,988,696,52,0,1,0
393,995,732,35,0,1,0
394,986,696,37,0,1,0
398,986,696,44,0,1,0
395,996,714,39,0,1,0
401,991,714,70,0,1,0
394,986,732,46,0,1,0
386,993,714,41,0,1,0
394,995,714,33,0,1,0
404,988,679,35,0,1,0
401,989,696,39,0,1,0
399,1000,714,35,0,1,0
405,993,696,33,0,1,0
401,989,714,37,0,1,0
402,998,696,41,0,1,0
395,1000,696,37,0,1,0
394,995,696,41,0,1,0
167,293,643,862,0,0,1
45,306,643,884,0,0,1
21,313,643,810,0,0,1
16,337,625,755,0,0,1
16,373,661,692,0,0,1
7,380,661,651,0,0,1
0,402,661,620,0,0,1
2,434,625,587,0,0,1
1,441,589,559,0,0,1
5,455,554,539,0,0,1
5,483,607,513,0,0,1
12,506,643,489,0,0,1
15,506,571,480,0,0,1
16,525,589,463,0,0,1
16,554,518,439,0,0,1
22,554,554,430,0,0,1
25,564,536,428,0,0,1
24,589,518,410,0,0,1
27,601,554,384,0,0,1
27,601,536,386,0,0,1
26,617,554,365,0,0,1
34,643,554,365,0,0,1
37,634,518,352,0,0,1
43,645,536,356,0,0,1
42,668,536,338,0,0,1
45,671,536,319,0,0,1
44,671,536,323,0,0,1
46,687,518,317,0,0,1
48,707,536,297,0,0,1
51,698,554,293,0,0,1
52,710,554,295,0,0,1
54,731,554,284,0,0,1
57,728,589,269,0,0,1
61,729,571,269,0,0,1
63,747,554,255,0,0,1
60,757,536,247,0,0,1
70,750,554,247,0,0,1
74,763,536,253,0,0,1
75,782,536,231,0,0,1
75,770,554,225,0,0,1
76,777,536,229,0,0,1
74,793,482,223,0,0,1
80,794,500,218,0,0,1
80,791,536,212,0,0,1
77,805,518,212,0,0,1
82,821,518,194,0,0,1
85,808,536,199,0,0,1
84,814,500,197,0,0,1
88,835,536,188,0,0,1
91,828,518,179,0,0,1
90,824,518,183,0,0,1
93,838,500,175,0,0,1
97,851,536,164,0,0,1
98,840,536,170,0,0,1
98,847,536,166,0,0,1
98,865,571,164,0,0,1
99,856,554,155,0,0,1
102,854,571,159,0,0,1
103,870,589,155,0,0,1
105,873,500,146,0,0,1
106,863,536,155,0,0,1
107,873,482,148,0,0,1
106,889,500,151,0,0,1
108,875,482,140,0,0,1
112,877,500,142,0,0,1
115,893,500,133,0,0,1
119,891,536,135,0,0,1
119,884,500,135,0,0,1
114,895,518,138,0,0,1
120,907,518,122,0,0,1
120,893,500,120,0,0,1
117,898,500,129,0,0,1
121,912,500,122,0,0,1
122,905,482,107,0,0,1
124,903,518,114,0,0,1
126,914,500,109,0,0,1
125,923,536,109,0,0,1
126,910,500,107,0,0,1
127,914,446,118,0,0,1
129,930,482,100,0,0,1
132,917,446,100,0,0,1
132,916,500,100,0,0,1
144,930,464,109,0,0,1
143,935,464,96,0,0,1
136,924,464,103,0,0,1
142,933,482,103,0,0,1
139,946,464,94,0,0,1
143,931,464,90,0,0,1
142,933,464,94,0,0,1
141,947,482,87,0,0,1
142,944,446,87,0,0,1
148,935,464,96,0,0,1
149,946,446,90,0,0,1
147,956,446,81,0,0,1
150,940,429,81,0,0,1
151,944,446,85,0,0,1
150,958,411,79,0,0,1
152,951,429,76,0,0,1
157,947,446,83,0,0,1
157,956,393,79,0,0,1
161,963,375,81,0,0,1
162,951,446,74,0,0,1
165,954,411,90,0,0,1
168,967,375,61,0,0,1
168,956,375,66,0,0,1
167,954,393,74,0,0,1
164,965,339,76,0,0,1
165,967,357,59,0,0,1
167,956,375,70,0,0,1
166,963,321,68,0,0,1
170,972,375,66,0,0,1
172,960,357,63,0,0,1
170,961,339,68,0,0,1
164,974,339,63,0,0,1
168,970,357,66,0,0,1
169,963,357,66,0,0,1
169,970,357,66,0,0,1
178,975,304,59,0,0,1
181,965,321,57,0,0,1
185,967,375,50,0,0,1
189,975,321,59,0,0,1
196,970,321,59,0,0,1
201,963,304,63,0,0,1
218,974,321,66,0,0,1
219,977,321,57,0,0,1
220,965,321,68,0,0,1
219,970,339,57,0,0,1
217,975,321,66,0,0,1
223,967,357,50,0,0,1
230,963,357,59,0,0,1
237,970,321,59,0,0,1
239,970,321,50,0,0,1
247,960,321,66,0,0,1
255,967,304,55,0,0,1
244,972,304,66,0,0,1
259,961,286,57,0,0,1
261,961,304,59,0,0,1
265,970,304,55,0,0,1
263,968,286,48,0,0,1
269,961,250,55,0,0,1
272,972,286,50,0,0,1
284,975,339,59,0,0,1
293,963,268,52,0,0,1
297,967,304,52,0,0,1
295,975,286,55,0,0,1
280,972,286,44,0,0,1
265,968,268,48,0,0,1
254,977,286,55,0,0,1
253,981,286,44,0,0,1
261,970,250,41,0,0,1
268,975,250,39,0,0,1
270,979,250,39,0,0,1
277,974,268,41,0,0,1
272,974,250,52,0,0,1
258,982,250,41,0,0,1
253,984,232,37,0,0,1
246,975,250,37,0,0,1
251,982,214,41,0,0,1
266,986,232,50,0,0,1
266,977,268,24,0,0,1
267,979,232,41,0,0,1
265,986,214,37,0,0,1
271,984,232,28,0,0,1
272,975,179,37,0,0,1
275,986,232,39,0,0,1
269,988,179,37,0,0,1
270,979,196,46,0,0,1
274,982,179,44,0,0,1
280,986,143,35,0,0,1
276,986,179,33,0,0,1
268,981,161,39,0,0,1
267,988,125,37,0,0,1
269,991,196,33,0,0,1
281,979,125,28,0,0,1
